index,linkPoster,name,role,time,content,content_img,react_list,comment
3,No link,Người tham gia ẩn danh,Thành viên,2 giờ,"cho em hỏi, trường mình đầu ra có nhận bằng HSK không ạ 
 HSK mấy là đạt chuẩn ạ",No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Matcha Bạc Hà', 'content': 'Coá và Hình như hsk 3 ấy'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Matcha Bạc Hà em cảm ơn ạ'}]"
4,No link,Người tham gia ẩn danh,Thành viên,3 giờ,"Tối nay có bạn nào đi nhậu cho vui ko nào. Mình năm nhất nam nek, bn nào đi lên kèo nào ",No picture,"{'Thích': '3', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': '1', 'Phẫn nộ': 0}","[{'name': 'Hồng Nhung', 'content': 'bọn tớ ạ Dok Xì Gum Hoài Thương'}, {'name': 'Hoài Thương', 'content': 'Hồng Nhung ê ê'}, {'name': 'Thuỳ Dung', 'content': 'Hồng Nhung tớ nữa được không'}]"
5,No link,Người tham gia ẩn danh,Thành viên,7 giờ,Anh chị cho em xin địa chỉ quán nét nào gần trường mình với ạ,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '3', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Anh Dương', 'content': 'Quán cf đối diện trường á c'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Anh Dương dạ em cảm ơn ạ'}]"
6,No link,Người tham gia ẩn danh,Thành viên,10 giờ,"A/c cho e hỏi
Khi mình nộp bằng TOEIC  về trường, thì mình nộp bằng nào dưới đây ạ",{0: 'https://scontent.fdad3-4.fna.fbcdn.net/v/t39.30808-6/467308079_2488221648044313_3252885464463857908_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeGIdmPtMXVdWKktfl_VL46I1DqSeRibAyTUOpJ5GJsDJJ9snMg_zm0BkavWz_jKm8S_tICrLWP5G4ghc4X9MsEj&_nc_ohc=iRmHcJJGhswQ7kNvgENyIpC&_nc_zt=23&_nc_ht=scontent.fdad3-4.fna&_nc_gid=AmessNEvH00A1HAyUUltHDw&oh=00_AYC6ww1cLloHdd7YwtphfiMIho9eU7wzRKJtLRVpTbZhJA&oe=673F9DCB'},"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Ngô Quốc Tuấn', 'content': 'Nộp cả 2 nha bạn'}]"
7,No link,Người tham gia ẩn danh,Thành viên,16 giờ,"A/c cho em hỏi, mình quá hạn nộp học phí thì phải lên phòng ctsv để nộp phải không ạ. Nộp trước hay là sau đki tín chỉ ạ?",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
8,No link,Người tham gia ẩn danh,Thành viên,17 giờ,"Đã gần 12h đêm rồi mà mình vẫn trằn trọc, suy nghĩ mãi không thôi. Cuộc sống ở Đà Nẵng bận rộn, đầy cơ hội nhưng cũng lắm áp lực, khiến mình lúc nào cũng mệt mỏi và cô đơn. Nhiều khi tự hỏi, liệu có đáng để tiếp tục gồng gánh ở đây hay không, hay mình nên trở về quê, tìm lại sự bình yên đã từng có? Nghĩ về việc quay về làm cô giáo mầm non ở quê, lòng mình thấy nhẹ nhõm hơn. Ở đó, dù thu nhập không cao, nhưng được sống gần gia đình, được nghe tiếng cười trẻ thơ, được làm những điều giản dị, chân thành. Liệu có phải mình đang trốn chạy những áp lực ở thành phố hay chỉ đơn giản là mình đang khao khát tìm lại chút bình yên đã mất? Có lẽ đôi khi chúng ta cần phải lắng nghe trái tim mình hơn, thay vì mãi chạy theo những giấc mơ xa xôi mà quên mất hạnh phúc có thể ở ngay bên cạnh.",No picture,"{'Thích': '13', 'Yêu thích': '20', 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Nhut Tran', 'content': 'nge bình yên ghê'}, {'name': 'Lê Viết Quang Trí', 'content': 'Bình yên nào rồi cũng sẽ tới sau giông bão mà bạn. Phải trải qua gian khổ trước thì những điều bình thường hàng ngày cũng biến thành bình yên'}, {'name': 'Nguyen Huy', 'content': 'Nguyễn Huy hạnh phuc la khi về nhà chạy KPI'}, {'name': 'Kiieu Anhh', 'content': 'Phạm Thị Ly Ly nèe'}, {'name': 'Phạm Thị Ly Ly', 'content': 'Kiieu Anhh quớ là mệt moãi'}]"
9,No link,Người tham gia ẩn danh,Thành viên,19 giờ,Chiều nay xem xong văn nghệ khoa địa lý mới chợt nhận ra trai sư phạm cũng rất đẹp trai,No picture,"{'Thích': '10', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '11', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Mỹ Trình', 'content': 'Trai lớp toi mà thấy chắc tương tư cả đêm quá'}, {'name': 'Người tham gia ẩn danh', 'content': 'Người tham gia ẩn danh Tác giả Mỹ Trình 24SDL có mấy bn đẹp trai nè cho mk xin in4 bn nam bế bn nữ dây buộc tóc màu trắng với eo ơi mê thiệt'}, {'name': 'Mỹ Trình', 'content': 'Người tham gia ẩn danh bạn này hã Vann Tuyen'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Mỹ Trình bn bế bn nữ dây buộc tóc trắng đây à'}, {'name': 'Quỳnh Thắm', 'content': 'Đứa dây buộc tóc trắng là m à Trà My'}, {'name': 'Trà My', 'content': 'Quỳnh Thắm ko phải tớ fen ơi'}, {'name': 'Trà My', 'content': 'Mỹ Trình chắc ngủ ko nổi á m'}, {'name': 'Mỹ Trình', 'content': 'Ngọc Thy Phan chị đăng đúng khong haha'}, {'name': 'Ngọc Thy Phan', 'content': 'mún overthink típ khum'}, {'name': 'Mỹ Trình', 'content': 'Ngọc Thy Phan lank lunk gơn'}]"
10,No link,Người tham gia ẩn danh,Thành viên,19 giờ,Trai sư phạm cũng rất ra và này nọ nha . Thôi e về với sư phạm của em đây tạm biệt bách khoa nha,No picture,"{'Thích': '6', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '16', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
11,No link,Người tham gia ẩn danh,Thành viên,19 giờ,mấy a chị ơi e ch vào trường nma điểm trường mình cao quá thì phải lsao ạ e rất muốn học spham nma điểm này thì có dc gọi là có thể cố gắng kh ạ,No picture,"{'Thích': '2', 'Yêu thích': '1', 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Hồng Linhh', 'content': 'Có thể nha'}, {'name': 'Trịnh Oanh', 'content': 'đổi cách thi điểm chuẩn giảm chắc =)))'}]"
12,No link,Người tham gia ẩn danh,Thành viên,21 giờ,"Nghe đâu a Nguyễn Chiến khoa Lịch sử đẹp trai, học giỏi, giọng ấm lại còn CHUNG TÌNH. Sao a TUYỆT VỜI thế ạ?",No picture,"{'Thích': '8', 'Yêu thích': '1', 'Thương thương': 0, 'Haha': '11', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Vân Nguyen', 'content': 'Nghe sao giống phẩm chất nyc mk thế nhỉ=)))'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Vân Nguyen có lẽ nào.........'}, {'name': 'Việt Dũng', 'content': 'Nguyễn Chiến tinh hoa hội tụ quá anh ơi'}, {'name': 'Nguyễn Chiến', 'content': 'Việt Dũng tôi xin. Tôi xin'}, {'name': 'Lee Thành', 'content': 'Lee Thành Nguyễn Chiến anh Dũng gato á'}, {'name': 'Nguyễn Chiến', 'content': 'Lee Thành bạn bè tệ quá'}, {'name': 'Việt Dũng', 'content': 'Nguyễn Chiến m tin hắn hả :))'}, {'name': 'Nguyễn Chiến', 'content': 'Việt Dũng hơi hơi thoai'}, {'name': 'Tiến Đạt', 'content': 'Trinh Mai a đù vip pro e ơi'}]"
13,No link,Người tham gia ẩn danh,Thành viên,21 giờ,hạn nộp học phí lần cuối là ngày mấy vậy mn,No picture,"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
14,No link,Người tham gia ẩn danh,Thành viên,21 giờ,Còn đợt đóng học phí bổ sung nào không ạ?,No picture,"{'Thích': 0, 'Yêu thích': '1', 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Em sợ không được thi với không đk tín chỉ được'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Mng cmt em biết với ạ'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả ..'}]"
15,No link,Người tham gia ẩn danh,Thành viên,22 giờ,"Gần trường mình ai biết quán trà tranh nào có loa hát hò không, ngứa mồm quá anh em",No picture,"{'Thích': '4', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': '1', 'Phẫn nộ': 0}","[{'name': 'Văn Hồngg', 'content': 'A Lăng Đưng rủ bạn đi luyện giọng kia'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Văn Hồngg sẵn lòng ngay trong hôm nay'}]"
16,No link,Người tham gia ẩn danh,Thành viên,Hôm qua lúc 17:43,Cho mình hỏi bạn Mỹ Uyên ở clb bóng chuyền có ny chưa ạ,No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '5', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Trần Đại Nghĩa', 'content': 'Ý là bạn đó mỏ hỗn lắm, bỏ đi b ơi'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Trần Đại Nghĩa bn ấy có ny chưa zị'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Trần Đại Nghĩa có ck lun rùi á'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Trần Đại Nghĩa thật k vậy :(('}, {'name': 'Nguyễn Chương', 'content': 'mạnh dạng công khai chớ sợ chi mà ẩn danh rứa hê'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Nguyễn Chương sợ bn có ny thì ny bạn oánh chết'}, {'name': 'Mạch Thị Lan Anh', 'content': 'Bồ ta mà ai hỏi vạy'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Mạch Thị Lan Anh thật k vậy bà'}, {'name': 'Võ Quang Minh', 'content': 'Mạch Thị Lan Anh bồ ai'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Mạch Thị Lan Anh chơi be luôn hả'}, {'name': 'Mạch Thị Lan Anh', 'content': 'Người tham gia ẩn danh thật chớ saooo'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Mạch Thị Lan Anh hai người chơi bede luôn hả'}]"
17,No link,Người tham gia ẩn danh,Thành viên,Hôm qua lúc 17:42,"Cho em hỏi là anh Thái Thông 22SHH có ny chưa ạ
Nếu chưa thì cho em xin làm quen ạ",No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
18,No link,Người tham gia ẩn danh,Thành viên,Hôm qua lúc 17:09,Trai kỹ sư bách khoa cần tìm mấy em gơ xinh,{0: 'https://scontent.fdad3-1.fna.fbcdn.net/v/t39.30808-6/466793997_1228447418217799_3139281604486212247_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeGv1jHs3nwVqG4s8k6aXhP6x1VWvALUM7vHVVa8AtQzu0rC1JZBKq_II47XzWgQu0ICDZd4M2FD3WKkfd0Pysj5&_nc_ohc=1izy7nacksAQ7kNvgGY-Uyj&_nc_zt=23&_nc_ht=scontent.fdad3-1.fna&_nc_gid=AWMkUj_PiGr4KZ1PU_JF3jn&oh=00_AYAR7d6hwQlWfCL9urE5hhx1U1lAvR6F2mjmme7hHTuY3g&oe=673F9B3E'},"{'Thích': '15', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '24', 'Wow': 0, 'Buồn': '4', 'Phẫn nộ': 0}","[{'name': 'Phan Huyền', 'content': 'Phan Thanh Hoài giống bố mình ghê hen'}, {'name': 'Phan Thanh Hoài', 'content': 'Phan Huyền giống ông hàng xóm bố mình đẹp trai sáng láng hơn'}, {'name': 'Phan Huyền', 'content': 'Phan Thanh Hoài ý là cũng ngồi làm bản vẽ như này á , chứ đại ca nhà mình ngày xưa nổi tiếng đẹp trai nhất làng mà'}, {'name': 'Quỳnh Anh Trần Nguyễn', 'content': 'Phan Lâm Thương chọn đi'}, {'name': 'Người tham gia ẩn danh 964', 'content': 'Quỳnh Anh Trần Nguyễn anh tóc đen'}, {'name': 'Tuan Anh Tran', 'content': 'Hiến tế Phạm Minh Tuấn'}, {'name': 'Nguyn Chieuanh', 'content': 'Trinh Trần em ni không sp mà du lịt đc hem'}, {'name': 'Trinh Trần', 'content': 'Nguyn Chieuanh dc em=))) du lịt càng tốt'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Trinh Trần du lịch thì 11 điểm luôn quá dc'}, {'name': 'Nguyn Chieuanh', 'content': 'Người tham gia ẩn danh Trinh Trần đay a, có gì thành đôi e xin cái ip nhé'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Nguyn Chieuanh ok để bán bạn nữ kia qua campuchia tặng hắn 2 cái ip'}, {'name': 'Thuỳ An', 'content': 'Le Nguyen Anh Dung nghe nói thích trai bk'}, {'name': 'Mỹ Dung', 'content': 'Hmm :))'}, {'name': 'Bích Xuyến', 'content': 'Thị Diễm ê nha'}, {'name': 'Huỳnh Thị Ngọc Ny', 'content': 'Hoàng Minh b đăng đkhong =))'}, {'name': 'Hoàng Minh', 'content': 'Huỳnh Thị Ngọc Ny vcl luôn b=)))))) ẩu nx'}, {'name': 'Lê Viết Quang Trí', 'content': ''}, {'name': 'Phan Đình Mạnh', 'content': ''}]"
